twitter_id,user_id,time,unknown_1,unknown_2,source,unknown_3,unknown_4,unknown_5,text,name,screen_name,permalink
471163100788686848,1873766779,2014-05-27 01:36:51 -0400,"","","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,"",Outer-Space,#YesAllWomen has #Imploded #YesALLWhiteWomen lol http://t.co/13KxPoPeaw,Crow Daddy,Crow2Daddy2,http://www.twitter.com/Crow2Daddy2/status/471163100788686848
471163268539887616,36450346,2014-05-27 01:37:31 -0400,"","","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,"","",#YesAllWomen #YesALLWhiteWomen because even #feminism isn't above racism and silencing of minority women,Deva,CatsBaril,http://www.twitter.com/CatsBaril/status/471163268539887616
471164614986989568,412434734,2014-05-27 01:42:52 -0400,"","","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,"",Austin,Not going to RT bc I am neither a woman nor non-white but ppl using #YesAllWomen should really check out #YesALLWhiteWomen,Preston Stolte,sstolte33,http://www.twitter.com/sstolte33/status/471164614986989568
471166230016315392,830267088,2014-05-27 01:49:17 -0400,"","","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,"","",RT @Karnythia: I see the arguments going about #YesAllWomen  &amp; #YesALLWhiteWomen &amp; all I can think is that we should be past needed awarene…,Kaeli Lynette,princess_hoppie,http://www.twitter.com/princess_hoppie/status/471166230016315392
471167387568734208,101501019,2014-05-27 01:53:53 -0400,"","",web,0,"","Austin, TX",RT @ChiefElk: An Open Letter to Eve Ensler http://t.co/zMNkwbMHLO #YesAllWomen #YesALLWhiteWomen,maya,mayawanders,http://www.twitter.com/mayawanders/status/471167387568734208
471167475468750848,52763502,2014-05-27 01:54:14 -0400,"","","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,"",CA-MX-FR,Uno aprende mucho leyendo: I#YesAllWomen #YesAllWhiteWomen #CisGaze,Luisafer,bitcolorine,http://www.twitter.com/bitcolorine/status/471167475468750848
471167538471002113,1290368510,2014-05-27 01:54:29 -0400,"","","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,"","","RT @IngaNandiwillis: The truth is: Your privilege won't always save you, but it punishes us daily. #YesAllWomen #YesAllwhitewomen",Breezy✌,BreelynH,http://www.twitter.com/BreelynH/status/471167538471002113
471167576366526464,26198665,2014-05-27 01:54:38 -0400,471113367743385601,59615041,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,"","Oregon, US","MT @Feministfists: WoC experience DV @ higher rates, our bodies are hyper-sexualized, our prison rates are higher. #YesAllWhiteWomen",Tessara Dudley,tdudleypdx,http://www.twitter.com/tdudleypdx/status/471167576366526464
471167672520953856,2524216436,2014-05-27 01:55:01 -0400,"","","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,"",United States,"RT @brigidkeely: If you're a white feminist, it's time to quietly &amp; thoughtfully read #YesAllWhiteWomen",Miranda,equalityfinally,http://www.twitter.com/equalityfinally/status/471167672520953856
471168079733329920,515841227,2014-05-27 01:56:38 -0400,"","",web,0,"",achievement city,"RT @moonhumor: #YesAllWhiteWomen because I am a privileged white feminist working to better the lives of ALL women, not just a select few #…",ashlee,actualkhaleesi,http://www.twitter.com/actualkhaleesi/status/471168079733329920
471168452929933312,19760317,2014-05-27 01:58:07 -0400,"","","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",0,"","","RT @brigidkeely: If you're a white feminist, it's time to quietly &amp; thoughtfully read #YesAllWhiteWomen",numa perrier,missnuma,http://www.twitter.com/missnuma/status/471168452929933312
